DUMMY-RODFRONTE-CPI-PE000005	20250104:1035
DUMMY-RODFRONTE-MCI-PE000004	20250104:1107
SANCHEZPOLO-CPI-062509-24	20250106:1102
SANCHEZPOLO-CPI-062524-24	20250106:1446
SANCHEZPOLO-CPI-062524-24	20250106:1447
SANCHEZPOLO-MCI-093806	20250106:1455
SANCHEZPOLO-CPI-062550-24	20250106:1510
SANCHEZPOLO-MCI-093807	20250106:1515
SANCHEZPOLO-CPI-062555-24	20250107:0851
SANCHEZPOLO-MCI-093808	20250107:0903
DUMMY-RODFRONTE-CPI-CO000048	20250107:0939
DUMMY-RODFRONTE-CPI-CO000048	20250107:0939
SANCHEZPOLO-CPI-062510-24	20250107:0944
SANCHEZPOLO-CPI-062510-24	20250107:0945
SANCHEZPOLO-MCI-093809	20250107:0953
SANCHEZPOLO-MCI-093805	20250107:1022
SANCHEZPOLO-CPI-062500-24	20250107:1058
SANCHEZPOLO-MCI-093810	20250107:1102
SANCHEZPOLO-CPI-062522-24	20250107:1105
SANCHEZPOLO-MCI-093811	20250107:1108
SANCHEZPOLO-MCI-093812	20250107:1115
RODFRONTE-CPI-EC000018	20250107:1146
SERCARGA-CPI-31546925	20250107:1425
DUMMY-RODFRONTE-CPI-CO000048	20250107:1614
DUMMY-RODFRONTE-MCI-CO000052	20250107:1620
DUMMY-RODFRONTE-MCI-CO000053	20250107:1623
DUMMY-RODFRONTE-MCI-CO000052	20250107:1636
DUMMY-RODFRONTE-MCI-CO000053	20250107:1639
LOGITRANS-CPI-CO57012351	20250107:1700
LOGITRANS-MCI-CO57104046	20250107:1714
SANCHEZPOLO-CPI-062521-24	20250108:0907
SANCHEZPOLO-MCI-093819	20250108:0913
SANCHEZPOLO-CPI-062570-25	20250108:0918
SERCARGA-MCI-32015530	20250108:0918
SANCHEZPOLO-MCI-093820	20250108:0923
DUMMY-AGENCOMEXCARGO-CPI-CO001773	20250108:1008
DUMMY-AGENCOMEXCARGO-MCI-CO002179	20250108:1027
LOGITRANS-CPI-CO57012352	20250108:1354
LOGITRANS-MCI-CO57104048	20250108:1401
DUMMY-BYZA-CPI-CO7557	20250108:1402
DUMMY-RODFRONTE-CPI-EC000019	20250108:1417
DUMMY-BYZA-MCI-CO12301	20250108:1416
DUMMY-RODFRONTE-MCI-EC000023	20250108:1423
DUMMY-RODFRONTE-CPI-CO000050	20250108:1642
DUMMY-RODFRONTE-MCI-CO000054	20250108:1645
DUMMY-BYZA-MCI-CO12302	20250108:1659
SERCARGA-CPI-31547025	20250108:1710
RODFRONTE-CPI-EC000018	20250108:2040
SERCARGA-CPI-33711124	20250109:0834
DUMMY-RODFRONTE-CPI-EC000020	20250109:0844
DUMMY-RODFRONTE-MCI-EC000024	20250109:0847
DUMMY-RODFRONTE-MCI-EC000025	20250109:0850
SANCHEZPOLO-CPI-062523-24	20250109:0857
SANCHEZPOLO-MCI-093824	20250109:0915
SANCHEZPOLO-MCI-093825	20250109:0919
TRANSERCARGA-CPI-33472425	20250109:0950
SERCARGA-MCI-32015531	20250109:1405
SERCARGA-MCI-32015532	20250109:1451
DUMMY-RODFRONTE-CPI-CO000049	20250109:1454
DUMMY-RODFRONTE-MCI-CO000055	20250109:1458
SERCARGA-CPI-33711325	20250109:1524
SERCARGA-MCI-32015533	20250109:1532
DUMMY-RODFRONTE-CPI-EC000018	20250109:1550
DUMMY-RODFRONTE-MCI-EC000022	20250109:1552
RODFRONTE-CPI-CO000014	20250109:1552
DUMMY-RODFRONTE-MCI-EC000011	20250109:1554
SERCARGA-MCI-32015533	20250109:1555
TRANSERCARGA-MCI-32005333	20250109:1556
TRANSERCARGA-MCI-32005334	20250109:1608
SERCARGA-CPI-33711225	20250109:1619
DUMMY-RODFRONTE-MCI-EC000011	20250109:1624
SERCARGA-MCI-32015534	20250109:1624
DUMMY-RODFRONTE-CPI-PE000007	20250109:1749
DUMMY-RODFRONTE-MCI-PE000006	20250109:1759
DUMMY-RODFRONTE-CPI-EC000018	20250110:0540
DUMMY-RODFRONTE-MCI-EC000022	20250110:0542
RODFRONTE-CPI-CO000014	20250110:0543
DUMMY-RODFRONTE-CPI-PE000002	20250110:0545
RODFRONTE-CPI-CO000001	20250110:0549
DUMMY-RODFRONTE-CPI-CO000002	20250110:0550
DUMMY-RODFRONTE-CPI-CO000018	20250110:0630
DUMMY-RODFRONTE-CPI-EC000018	20250110:0631
SANCHEZPOLO-CPI-062588-25	20250110:0827
SANCHEZPOLO-CPI-062588-25	20250110:0830
SANCHEZPOLO-CPI-062588-25	20250110:0840
TRANSERCARGA-CPI-33472525	20250110:0849
SANCHEZPOLO-CPI-062588-25	20250110:0851
SANCHEZPOLO-MCI-093841	20250110:0856
SANCHEZPOLO-CPI-062578-25	20250110:0921
SANCHEZPOLO-MCI-093842	20250110:0927
DUMMY-RODFRONTE-CPI-PE000006	20250110:0929
DUMMY-RODFRONTE-MCI-PE000008	20250110:0941
TRANSERCARGA-MCI-32005335	20250110:0946
SANCHEZPOLO-CPI-062475-24	20250110:0957
SANCHEZPOLO-MCI-093125	20250110:0958
TRANSERCARGA-MCI-32005336	20250110:1004
DUMMY-RODFRONTE-MCI-PE000009	20250110:1007
DUMMY-RODFRONTE-CPI-CO000051	20250110:1007
DUMMY-RODFRONTE-MCI-CO000056	20250110:1011
DUMMY-RODFRONTE-MCI-PE000009	20250110:1013
DUMMY-RODFRONTE-MCI-PE000010	20250110:1022
DUMMY-RODFRONTE-MCI-PE000010	20250110:1027
DUMMY-RODFRONTE-MCI-PE000011	20250110:1036
SANCHEZPOLO-CPI-062571-25	20250110:1110
SANCHEZPOLO-CPI-062571-25	20250110:1111
SERCARGA-CPI-31547225	20250110:1116
SANCHEZPOLO-MCI-093843	20250110:1117
SANCHEZPOLO-CPI-062577-25	20250110:1125
SANCHEZPOLO-MCI-093844	20250110:1129
TEST-SANCHEZPOLO-MCI-093135	20250110:1130
TEST-SANCHEZPOLO-MCI-093134	20250110:1130
TEST-SANCHEZPOLO-MCI-093135	20250110:1131
TEST-DUMMY-BYZA-CPI-CO7562	20250110:1133
TEST-DUMMY-BYZA-CPI-CO7555	20250110:1134
TEST-DUMMY-BYZA-MCI-CO12302	20250110:1135
SERCARGA-CPI-31547125	20250110:1142
TEST-SANCHEZPOLO-MCI-093134	20250110:1234
TEST-SANCHEZPOLO-MCI-093135	20250110:1234
DUMMY-RODFRONTE-CPI-PE000008	20250110:1300
DUMMY-RODFRONTE-MCI-PE000007	20250110:1335
SERCARGA-MCI-32015535	20250110:1521
DUMMY-RODFRONTE-CPI-EC000023	20250110:1558
SERCARGA-MCI-32015536	20250110:1600
DUMMY-AGENCOMEXCARGO-CPI-CO001774	20250110:1602
DUMMY-AGENCOMEXCARGO-CPI-CO001774	20250110:1602
DUMMY-RODFRONTE-MCI-EC000028	20250110:1605
DUMMY-RODFRONTE-MCI-EC000029	20250110:1608
SERCARGA-CPI-15735525	20250111:1106
SERCARGA-CPI-15735425	20250111:1112
SERCARGA-CPI-15735625	20250111:1117
XXXXXXXX	
SANCHEZPOLO-CPI-062590-25	20250113:1021
SANCHEZPOLO-MCI-093868	20250113:1026
SANCHEZPOLO-MCI-093870	20250113:1030
DUMMY-BYZA-CPI-CO7563	20250113:1054
DUMMY-BYZA-MCI-CO12304	20250113:1055
BYZA-CPI-CO6861	20250113:1102
DUMMY-RODFRONTE-CPI-EC000021	20250113:1105
DUMMY-RODFRONTE-MCI-EC000033	20250113:1109
DUMMY-BYZA-CPI-CO7561	20250113:1116
DUMMY-RODFRONTE-CPI-EC000025	20250113:1123
DUMMY-RODFRONTE-MCI-EC000032	20250113:1125
SANCHEZPOLO-CPI-062590-25	20250113:1212
