+++ pix: Pixmap(DeviceRGB, (0, 0, 1700, 2200), 0)
Box 1: X=58, Y=58, W=1579, H=2047
Box 2: X=639, Y=1104, W=12, H=15
Box 3: X=653, Y=1104, W=12, H=15
Box 4: X=672, Y=1104, W=15, H=15
Box 5: X=688, Y=1104, W=14, H=16
Box 6: X=715, Y=1104, W=12, H=15
Box 7: X=734, Y=1104, W=11, H=15
Box 8: X=756, Y=1104, W=14, H=15
Box 9: X=770, Y=1104, W=14, H=16
Box 10: X=786, Y=1104, W=12, H=16
Box 11: X=799, Y=1104, W=13, H=15
Box 12: X=829, Y=1104, W=11, H=15
Box 13: X=842, Y=1104, W=12, H=15
Box 14: X=855, Y=1104, W=15, H=16
Box 15: X=909, Y=1104, W=11, H=15
Box 16: X=922, Y=1104, W=12, H=15
Box 17: X=936, Y=1104, W=11, H=15
Box 18: X=948, Y=1104, W=13, H=15
Box 19: X=968, Y=1104, W=11, H=15
Box 20: X=991, Y=1104, W=13, H=15
Box 21: X=1005, Y=1104, W=11, H=15
Box 22: X=1018, Y=1104, W=11, H=15
Box 23: X=1030, Y=1104, W=11, H=15
Box 24: X=1043, Y=1104, W=13, H=15
Box 25: X=1057, Y=1104, W=11, H=15
Box 26: X=1070, Y=1104, W=12, H=15
Box 27: X=1084, Y=1104, W=12, H=16
Box 28: X=1102, Y=1104, W=13, H=15
Box 29: X=1116, Y=1104, W=12, H=16
Box 30: X=1134, Y=1104, W=13, H=15
Box 31: X=95, Y=1116, W=11, H=15
Box 32: X=107, Y=1116, W=13, H=15
Box 33: X=143, Y=1116, W=11, H=15
Box 34: X=155, Y=1116, W=11, H=15
Box 35: X=167, Y=1116, W=12, H=16
Box 36: X=903, Y=1126, W=13, H=16
Box 37: X=634, Y=1127, W=11, H=15
Box 38: X=647, Y=1127, W=12, H=15
Box 39: X=661, Y=1127, W=11, H=15
Box 40: X=673, Y=1127, W=12, H=16
Box 41: X=687, Y=1127, W=11, H=15
Box 42: X=699, Y=1127, W=12, H=15
Box 43: X=712, Y=1127, W=12, H=15
Box 44: X=724, Y=1127, W=13, H=15
Box 45: X=738, Y=1127, W=13, H=16
Box 46: X=757, Y=1127, W=14, H=16
Box 47: X=773, Y=1127, W=12, H=15
Box 48: X=787, Y=1127, W=11, H=15
Box 49: X=799, Y=1127, W=12, H=16
Box 50: X=818, Y=1127, W=11, H=16
Box 51: X=831, Y=1127, W=11, H=15
Box 52: X=843, Y=1127, W=14, H=16
Box 53: X=859, Y=1127, W=12, H=16
Box 54: X=873, Y=1127, W=12, H=15
Box 55: X=917, Y=1127, W=13, H=16
Box 56: X=930, Y=1127, W=12, H=15
Box 57: X=944, Y=1127, W=11, H=16
Box 58: X=958, Y=1127, W=26, H=15
Box 59: X=989, Y=1127, W=13, H=16
Box 60: X=1003, Y=1127, W=15, H=16
Box 61: X=1019, Y=1127, W=14, H=15
Box 62: X=1036, Y=1127, W=11, H=15
Box 63: X=1049, Y=1127, W=12, H=15
Box 64: X=1062, Y=1127, W=13, H=16
Box 65: X=1081, Y=1127, W=13, H=15
Box 66: X=804, Y=2110, W=16, H=18
Box 67: X=822, Y=2110, W=14, H=17
Box 68: X=843, Y=2110, W=16, H=18
Box 69: X=867, Y=2110, W=14, H=17
Box 70: X=883, Y=2110, W=14, H=17
Box 71: X=898, Y=2110, W=11, H=17
